serial,nchild,relate,age,child_age_1,child_age_2,child_age_3,child_age_4,child_age_5,child_age_6,child_age_7,child_age_8,child_age_9,child_sex_1,child_sex_2,child_sex_3,child_sex_4,child_sex_5,child_sex_6,child_sex_7,child_sex_8,child_sex_9,age_group
95765000,1,2,43,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95766000,3,1,44,20,16,14,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
95768000,1,2,33,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
95769000,2,1,36,10,10,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
95770000,1,2,54,27,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
95771000,6,2,44,17,16,14,10,9,10,NA,NA,NA,2,1,1,1,1,2,NA,NA,NA,40-44
95778000,1,1,37,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
95781000,2,2,45,13,11,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
95785000,1,2,50,22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95787000,1,1,56,32,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
95790000,1,2,27,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
95795000,2,2,51,20,16,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
95797000,1,2,43,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95798000,2,2,58,40,36,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
95801000,2,1,32,4,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,30-34
95802000,2,1,47,18,19,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
95807000,1,2,25,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,25-29
95808000,3,1,40,14,12,9,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,40-44
95811000,2,1,42,9,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
95816000,2,2,54,25,27,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
95817000,1,2,22,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,<25
95818000,2,1,40,11,7,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
95820000,2,2,41,15,14,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
95822000,1,2,36,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
95823000,1,2,55,24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95827000,1,1,46,15,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
95835000,1,1,78,57,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
95837000,1,1,41,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95838000,2,2,39,9,7,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
95844000,1,2,63,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95846000,2,2,58,20,19,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
95852000,2,2,49,12,9,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
95853000,2,2,58,17,16,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
95855000,2,2,27,1,0,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,25-29
95862000,1,2,55,29,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95863000,2,2,48,26,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
95867000,1,2,27,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
95868000,1,1,51,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
95873000,2,1,44,9,6,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
95875000,4,2,51,22,20,19,12,NA,NA,NA,NA,NA,2,1,2,2,NA,NA,NA,NA,NA,50+
95876000,2,2,59,27,27,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
95878000,3,2,42,16,13,11,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
95889000,1,1,27,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,25-29
95890000,3,1,44,19,16,7,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
95892000,1,2,33,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
95893000,2,2,30,13,11,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,30-34
95894000,2,2,45,14,11,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
95895000,2,2,42,18,18,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
95896000,2,1,43,16,11,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
95901000,2,2,52,22,18,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
95902000,1,2,44,11,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95909000,2,2,30,13,2,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,30-34
95912000,1,2,33,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
95913000,2,2,54,35,25,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
95915000,2,1,41,17,15,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,40-44
95917000,1,2,46,20,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
95920000,3,2,47,24,20,16,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,45-49
95924000,1,1,39,5,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
95927000,3,2,32,7,4,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,30-34
95928000,3,2,34,12,10,6,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,30-34
95930000,2,2,47,16,14,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
95932000,1,1,56,24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
95933000,3,2,34,5,3,0,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,30-34
95934000,2,1,35,0,9,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
95935000,3,2,39,19,11,9,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,35-39
95937000,1,2,58,23,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95942000,2,2,31,1,0,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,30-34
95943000,1,2,71,49,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95945000,3,2,34,6,3,1,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,30-34
95947000,1,1,49,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
95949000,1,2,41,10,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95955000,2,2,44,17,13,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
95959000,2,2,36,6,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
95960000,1,1,28,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
95963000,1,1,44,11,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
95966000,2,2,25,5,4,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,25-29
95968000,2,1,50,19,17,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
95971000,1,2,51,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95972000,3,1,27,10,4,2,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,25-29
95973000,2,2,49,15,14,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
95974000,2,2,49,17,14,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
95977000,2,1,42,7,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
95980000,2,2,38,9,8,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
95986000,1,1,64,43,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
95990000,3,1,41,12,0,5,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
95994000,2,2,41,10,4,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
95996000,4,2,42,3,1,10,17,NA,NA,NA,NA,NA,1,2,1,2,NA,NA,NA,NA,NA,40-44
95997000,2,1,51,23,25,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
95999000,2,1,23,6,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,<25
96000000,1,1,61,32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96004000,2,2,50,26,23,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
96008000,2,1,54,20,22,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
96012000,3,1,47,25,16,22,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,45-49
96015000,2,2,44,12,8,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
96016000,2,2,56,26,33,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
96018000,1,2,50,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96019000,1,2,45,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
96021000,3,2,43,20,18,18,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,40-44
96025000,3,2,39,21,19,14,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,35-39
96026000,2,2,31,2,11,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,30-34
96030000,3,1,37,13,10,6,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,35-39
96033000,1,1,55,17,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96036000,1,2,37,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96039000,2,2,52,20,20,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
96040000,1,2,36,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96041000,1,1,53,28,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96045000,3,2,42,9,6,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,40-44
96046000,1,2,61,34,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96047000,1,2,57,37,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96049000,3,2,35,12,10,7,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,35-39
96050000,4,2,45,20,22,20,15,NA,NA,NA,NA,NA,1,1,2,2,NA,NA,NA,NA,NA,45-49
96051000,1,2,29,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
96052000,2,2,37,12,7,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
96053000,1,2,62,26,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96056000,1,1,35,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96059000,1,2,40,12,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96063000,1,2,62,21,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96065000,1,2,23,0,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,<25
96068000,3,1,48,20,17,14,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,45-49
96071000,1,1,37,7,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96072000,3,2,33,6,4,1,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,30-34
96074000,3,2,36,16,13,11,NA,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA,NA,NA,35-39
96076000,2,1,50,27,22,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
96078000,1,2,56,16,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96080000,1,1,24,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,<25
96087000,2,1,28,10,0,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,25-29
96089000,3,1,50,9,27,18,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,50+
96096000,2,2,41,11,7,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,40-44
96104000,3,2,44,14,12,5,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
96109000,1,2,49,28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
96110000,1,1,58,32,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96116000,4,1,38,8,6,1,1,NA,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,35-39
96118000,1,2,56,26,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96119000,2,2,27,1,8,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,25-29
96120000,1,1,57,29,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96123000,2,1,37,5,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
96124000,1,2,53,26,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96125000,2,2,47,11,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
96126000,2,2,49,15,24,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
96129000,2,2,49,24,21,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
96132000,2,2,37,9,5,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
96135000,2,2,48,20,21,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96138000,2,1,54,20,22,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
96141000,2,1,37,2,0,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
96146000,4,2,42,10,5,6,2,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,40-44
96152000,1,2,75,39,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96158000,1,2,47,20,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
96167000,2,2,35,6,5,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
96169000,1,2,67,25,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96171000,1,2,25,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,25-29
96173000,2,1,54,24,22,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
96174000,1,1,45,24,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
96175000,2,1,48,22,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96177000,2,2,29,3,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,25-29
96178000,2,2,52,18,12,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,50+
96179000,4,1,35,11,8,1,0,NA,NA,NA,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,35-39
96183000,2,1,42,17,15,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
96187000,2,1,25,4,3,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,25-29
96190000,2,1,41,11,0,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,40-44
96192000,1,2,38,19,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96193000,2,2,45,21,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96194000,1,2,55,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96196000,2,2,47,16,10,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96198000,2,2,45,20,18,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96199000,1,1,34,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
96204000,3,1,58,21,23,35,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,50+
96208000,2,1,49,20,17,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
96211000,3,2,41,12,12,7,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,40-44
96213000,1,2,38,18,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96214000,1,2,44,10,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96218000,1,2,57,13,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96219000,1,1,61,41,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96221000,2,2,36,8,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,35-39
96222000,2,2,42,19,12,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
96223000,1,2,70,47,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96224000,1,1,43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96226000,2,2,42,13,9,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
96228000,1,2,56,39,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96231000,2,2,44,18,17,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,40-44
96237000,2,2,48,8,6,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,45-49
96242000,1,2,39,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96243000,2,2,49,18,14,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,45-49
96244000,4,1,73,40,51,51,50,NA,NA,NA,NA,NA,1,1,2,1,NA,NA,NA,NA,NA,50+
96250000,2,2,39,12,11,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,35-39
96252000,1,2,61,28,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96256000,2,2,53,24,24,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
96266000,1,1,52,20,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96270000,1,2,30,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,30-34
96272000,1,2,67,44,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96273000,2,2,37,5,4,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,35-39
96274000,1,2,40,11,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96283000,2,1,46,10,9,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,45-49
96284000,1,2,53,17,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96287000,1,2,66,40,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,50+
96294000,2,2,48,22,19,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,45-49
96295000,2,2,59,32,31,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
96297000,1,1,45,27,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,45-49
96302000,4,2,39,14,12,10,6,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,35-39
96303000,2,1,37,11,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,35-39
96305000,2,1,26,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,25-29
96306000,1,1,34,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
96312000,1,1,44,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96316000,2,2,51,22,20,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,50+
96317000,2,1,26,4,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,25-29
96321000,2,2,53,23,22,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,50+
96323000,3,2,42,16,7,18,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
96325000,1,2,41,13,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,40-44
96326000,1,2,38,9,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,35-39
96328000,2,2,33,9,6,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,30-34
96329000,3,2,40,21,16,14,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,40-44
96330000,2,2,56,28,27,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,50+
96331000,3,2,43,14,11,8,NA,NA,NA,NA,NA,NA,2,2,1,NA,NA,NA,NA,NA,NA,40-44
96332000,1,2,34,19,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,30-34
96334000,1,1,74,47,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,50+
96338000,3,2,36,7,5,3,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,35-39
96341000,1,2,49,24,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,45-49
